Frequency (Hz),Amplitude
523.25,211.6339867601108
523.0,172.37032359422847
523.75,162.8072972656873
523.5,150.51957774755786
524.0,124.90549882757232
522.75,122.49127978593968
524.25,98.07378308531165
522.5,88.7410152759795
524.5,75.57801228334131
522.25,68.67911842639658
524.75,62.72373516019976
522.0,57.83375125143458
525.0,54.85727134388064
521.75,48.34957445973766
525.25,47.03413378234962
525.5,41.964067710593135
521.5,41.27634175623161
525.75,38.59286965706254
521.25,37.09761827448114
526.0,34.63036972956555
521.0,33.03844305635424
526.25,31.37706883782094
520.75,29.413970979185805
526.5,28.85481761120287
520.5,26.891694821296007
526.75,26.207722776329785
520.25,24.57776711954174
527.0,24.057641114906897
527.25,22.51105957135436
520.0,22.335463324136363
527.5,21.027886296084425
519.75,20.52705968582168
527.75,19.644220881480987
1048.0,19.47660049065696
519.5,19.06920582296364
2107.75,18.625053500099423
528.0,18.48018118300605
519.25,17.638848218008537
1048.25,17.61945142861053
528.25,17.44851096070687
2108.0,17.013614328028197
1049.0,17.003746444326335
2107.5,16.645016755472327
528.5,16.2704590335731
519.0,16.262851867359903
2108.25,15.437630063118528
518.75,15.32359109462823
1048.5,15.261235974287551
528.75,15.23568473719899
1576.0,15.215112939387648
1047.75,14.771342416768045
529.0,14.504763301305202
518.5,14.410537627900736
2107.25,14.283448115964166
529.25,13.436919971651422
518.25,13.428443277932605
2108.5,13.124397433659556
1049.25,12.879515860636342
518.0,12.809828188293377
1575.75,12.804296894650015
2108.75,12.704199394035635
529.5,12.637895555533904
2109.25,12.58105382847103
2107.0,12.537137020896663
529.75,12.340752579067235
1047.5,12.26327575905372
517.75,12.106426823695704
1575.5,11.745832655289254
530.0,11.52464771349058
2106.75,11.326959854396764
2109.5,11.299248592224163
517.5,11.2953569143495
1047.25,11.289307261629016
1048.75,11.090422868164298
517.25,11.03675352453575
530.25,10.982716313540696
2109.0,10.892410413759515
517.0,10.76247994230323
530.5,10.72217433584023
1049.5,10.571579541563054
1576.25,10.52398529915021
2109.75,10.478429506209167
530.75,10.469876153736005
2106.5,10.41926192486316
516.75,10.153127758725311
531.0,9.973233582314984
2110.0,9.94092715483363
531.25,9.8745414123196
1575.25,9.78418141662478
516.5,9.705070648806744
